,num_parameters,final loss,max_error
0,200.0,0.009121066890656948,0.08162470161914825
1,400.0,0.009121223352849483,0.08162454515695572
2,600.0,0.009121098555624485,0.08162470161914825
3,800.0,0.009121078997850418,0.08162469416856766
4,1000.0,0.009121071547269821,0.08162470906972885
5,1200.0,0.009121105074882507,0.08162471652030945
6,1400.0,0.009121086448431015,0.08162468671798706
7,1600.0,0.009121083654463291,0.08162472397089005
8,1800.0,0.009121092036366463,0.08162468671798706
9,2000.0,0.009121120907366276,0.08162465691566467
10,2200.0,0.009121104143559933,0.08162475377321243
11,2400.0,0.009121098555624485,0.08162472397089005
12,2600.0,0.009121205657720566,0.08162442594766617
13,2800.0,0.009121122770011425,0.08162465691566467
14,3000.0,0.009121134877204895,0.08162455260753632
15,3200.0,0.009121107868850231,0.08162469416856766
16,3400.0,0.00912117026746273,0.0816246047616005
17,3600.0,0.0091215455904603,0.08162380754947662
18,3800.0,0.009121144190430641,0.08162465691566467
