,num_parameters,final loss,max_error
0,200.0,0.006116078235208988,0.07323665916919708
1,400.0,0.006116079166531563,0.07323665916919708
2,600.0,0.006116078235208988,0.07323665916919708
3,800.0,0.006116080097854137,0.07323666661977768
4,1000.0,0.005829926114529371,0.07344858348369598
5,1200.0,0.005817807279527187,0.0734618529677391
6,1400.0,0.006116079166531563,0.07323668152093887
7,1600.0,0.006116015836596489,0.07323676347732544
8,1800.0,0.006116076372563839,0.07323668152093887
9,2000.0,0.006116046570241451,0.07323671132326126
10,2200.0,0.006116081029176712,0.07323665916919708
11,2400.0,0.006116079166531563,0.07323665916919708
12,2600.0,0.006116077303886414,0.07323666661977768
13,2800.0,0.12961934506893158,0.14299272000789642
14,3000.0,0.0061160787008702755,0.07323665916919708
15,3200.0,0.006116080097854137,0.07323668152093887
16,3400.0,0.006116083357483149,0.0732366070151329
17,3600.0,0.00611609872430563,0.07323664426803589
18,3800.0,0.27275708317756653,0.059993743896484375
