,num_parameters,final loss,max_error
0,400.0,4.028502644359833e-06,6.832927465438843e-05
1,800.0,0.006429390981793404,0.07752180099487305
2,1200.0,0.006430920213460922,0.07724808156490326
3,1600.0,1.7045306321961107e-06,0.0007973611354827881
4,2000.0,0.007880961522459984,0.08289367705583572
5,2400.0,0.009245259687304497,0.08401700854301453
6,2800.0,0.3335001766681671,0.06415001302957535
7,3200.0,0.3335001766681671,0.06415001302957535
8,3600.0,4.3683514377335086e-05,0.0002326183021068573
9,4000.0,0.3335001766681671,0.06415001302957535
10,4400.0,0.006949525326490402,0.0774448812007904
11,4800.0,0.008393360301852226,0.0844278633594513
12,5200.0,0.006531458348035812,0.07733654975891113
13,5600.0,1.0791926570163923e-06,1.1753290891647339e-05
14,6000.0,5.205444608691323e-08,6.593763828277588e-06
15,6400.0,0.0002882898261304945,0.000608593225479126
16,6800.0,1.3268154361867346e-06,1.3675540685653687e-05
17,7200.0,0.006430814508348703,0.07724621891975403
18,7600.0,0.006429469212889671,0.07725834846496582
