,num_parameters,final loss,max_error
0,200.0,0.020847488194704056,0.12391763925552368
1,400.0,0.020847484469413757,0.12391763925552368
2,600.0,0.02084748074412346,0.12391763925552368
3,800.0,0.020847484469413757,0.12391764670610428
4,1000.0,0.016743892803788185,0.1226741150021553
5,1200.0,0.016742713749408722,0.1226891428232193
6,1400.0,0.016742825508117676,0.12269936501979828
7,1600.0,0.016524117439985275,0.1228177547454834
8,1800.0,0.016469806432724,0.12280872464179993
9,2000.0,0.017203114926815033,0.12347537279129028
10,2200.0,0.01649683341383934,0.12277834117412567
11,2400.0,0.01674501970410347,0.12272727489471436
12,2600.0,0.016463542357087135,0.12291564047336578
13,2800.0,0.016742676496505737,0.12269236892461777
14,3000.0,0.016492724418640137,0.12278048694133759
15,3200.0,0.018158001825213432,0.12236373871564865
16,3400.0,0.016742944717407227,0.1226850226521492
17,3600.0,0.02084747515618801,0.12391762435436249
18,3800.0,0.016540583223104477,0.12272810935974121
